itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
1026911,BL84502,,475188,"Roary The Racing Car - Christmas bumper collection, 1 Disc",,2014-01-17
1026914,BL84504,,475190,"Rupert and the Giant Egg Race, 1 Disc",,2014-01-31
1026915,BL84505,,475191,"Gnomeo and Juliet, 1 Disc",,2014-02-01
1026923,BL84643,,475199,"2010 The Year We Make Contact, 1 Disc",,2014-01-25
1026925,BL84507,,475201,"Miracle on 34th Street, 1 Disc",,2014-01-18
1026940,BL84508,,475207,"BACK TO THE FUTURE: PART 2",,2014-01-12
1026949,BL84510,,475209,"Boogie Beebies - Get ready to boogie!, 1 Disc",,2014-01-25
1026962,BL84512,,475215,"Pop Star Girls, 1 Disc",,2014-01-18
1026965,BL84647,,475216,"Red Dwarf: Just The Smegs, 1 Disc ",,2014-01-11
1026976,BL84513,,475219,"The Sooty Show, 1 Disc",,2014-02-01
1026977,BL84673,,475220,"Ganges, 1 Disc  ",,2014-01-28
1026978,BL84648,,475221,"Angelina Ballerina, Disc 1",,2014-01-21
1027007,BL84665,,475230,"Great Expectations, 1 Disc",,2014-01-12
1027011,BL84652,,475232,"Cbeebies Get Set Go",,2014-01-04
1027017,BL84653,,475236,"Thunderbirds, Disc 1",,2014-01-25
1027045,BL84661,,475242,"Horrible Histories, 3 Disc",,2013-12-28
1027053,BL84662,,475244,"The Sooty Show, Disc 1",,2013-12-01
1027057,BL84667,,475246," Titty Bang Bang : Series- 2,1 Disc ",,2014-02-01
1027060,BL84668,,475247,"Natural World Collection, 2 Discs",,2014-01-16
1027073,BL84659,,475254,"The Railway Children",,2014-02-01
1027077,BL84671,,475256,"Heartbeat:Series-9, 6 Discs",,2014-01-25
1027079,BL84660,,475257,"The Wind In The Willows, 4 Discs",,2014-01-19
1027088,BL84656,,475261,"The Christmas Twins, Disc 1",,2014-01-15
1027092,BL84674,,475262,"Way We Live Now, 2 Discs",,2014-01-30
1027095,BL84655,,475264,"Mr. Bean, Disc 1",,2013-12-31
1027101,BL84675,,475266,"He Knew He Was Right, 2 Discs",,2014-01-07
1027102,BL84654,,475268,"Postman Pat",,2014-02-02
1027114,BL84677,,475279,"In Search Of The Trojan War, 2 Discs",,2014-01-19
1027123,BL84679,,475285," In The Footsteps Of Alexander the Great, 2 Discs ",,2014-01-12
1027132,BL84680,,475286,"Conquistadors, 1 Disc",,2014-01-12
1027162,BL84684,,475297,"Only Fools & Horses:Modern Men, 1 Disc",,2014-02-02
1027185,BL84686,,475301,"Great Expectations, 1 Disc",,2014-01-04
1027194,BL84687,,475304,"Andes To Amazon, 2 Discs ",,2014-01-23
1027292,BL84692,,475324,"Waking The Dead:The Fall And Mask Of Sanity - Series 6 ",,2014-01-30
1027319,BL84696,,475335,"Warner Home Video Inception, 1 Disc ",,2013-08-21
1027367,BL84700,,475351,"Drive, 1 Disc ",,2014-01-18
1027412,BL84701,,475354,"David Attenborough's Life On Land, 15 Discs ",,2014-01-31
1027422,BL84702,,475355,"Macbeth, 1 Disc ",,2014-01-18
1027427,BL84703,,475356,"Clockwork Orange, 1 Disc ",,2014-01-10
1027441,BL84706,,475361,"It Always Rains On Sunday, 1 Disc ",,2014-01-25
1027747,BL84473,,475445,"Teletubbies Time for Teletubbies, 1 Disc",,2014-02-02
1027776,BL84500,,475465,"Bobinogs - Sounds Sensational & Other Stories, 1 Disc ",,2014-02-02
1027960,BL84713,,475546,"First Men In The Moon, 1 Disc ",,2014-01-29
1027965,BL84715,,475549,"28 Days Later, 1 Disc",,2014-01-11
1028631,BL84718,,476282,"Tinker Tailor Soldier Spy, 2 Discs ",,2014-02-02
1028643,BL84720,,476287,"Top Gear The Challenges, Vol 1, 1 Disc",,2014-01-23
1028644,BL84721,,476289,"Top Gear The Challenges Vol 2, 1 Disc",,2013-12-27
1028658,BL84725,,476303,"Life And Adventures Of Nicholas Nickleby, 1 Disc",,2013-12-24
1028663,BL84727,,476309,"Topsy Turvy, 1 Disc",,2014-01-31
1028664,BL84728,,476310,"Caravaggio, 1 Disc",,2014-01-05
1028670,BL84730,,476315,"Our Mutual Friend, 2 Discs ",,2014-01-29
1028731,BL84736,,476335,"Our Mutual Friend, 2 Discs",,2014-01-04
1028749,BL84740,,476338,"Dickens Of London, 2 Discs",,2014-01-24
1028767,BL84744,,476348,"Two Ronnies: Series -2, 2 Disc ",,2014-01-31
1028768,BL84745,,476349," Bad Timing, 1 Disc",,2014-01-15
1028828,BL84750,,476381,"Old Curiosity Shop, 2 Discs",,2013-12-31
1029210,BL84755,,476509,"George Harrison:Living In The Material World, 2 Discs ",,2014-01-29
1029251,BL84757,,476512,"Monkey Dust :Series-1, 1 Disc",,2014-01-31
1029268,BL84758,,476513,"Innocents, 1 Disc ",,2014-02-02
1029450,BL84769,,476550,"Attack The Block, 2 Discs",,2013-09-19
1029459,BL84770,,476551,"Normans, 2 Discs ",,2014-01-11
1029561,BL84771,,476561,"Man Friday, 1 Disc",,2014-01-11
1029612,BL84775,,476565," Lonely Place To Die, 1 Disc",,2014-01-23
1029641,BL84778,,476570,"Sorry :Series- 2 , 1 Disc ",,2014-01-31
1029643,BL84779,,476571,"Long Day Closes, 1 Disc",,2014-02-01
1029672,BL84780,,445164,"The Pickwick Papers, 1 Disc",,2014-01-28
1029675,BL84781,,445164,"The Pickwick Papers, 1 Disc",,2013-12-03
1030096,BL84786,,477738,"I Know Where I`M Going, 1 Disc ",,2014-01-24
1030101,BL84787,,477739,"Dad's Army: Series 1-9, 14 Discs",,2014-01-02
1030185,BL84788,,477750,"Importance Of Being Earnes, 1 Disc",,2014-01-25
1030204,BL84793,,461598,"Silent Witness - Series 7 & 8 (DVD)",,2014-01-22
1030205,BL84794,,461880,"Ratcatcher , 1 Disc "," Ramsay,  Lynne",2014-01-25
1030228,"BL84796 ",,477754,"Monocled Mutineer, 2 Discs",,2014-01-12
1030230,BL84797,,477755,"Zulu, 1 Disc",,2014-02-02
1030231,BL84798,,461323,"Waking The Dead:Substitute and EndgameSeries 8, 2 Discs",,2014-01-29
1030232,BL84799,,477756,"Waking The Dead:Magdalene 26 and End of the night:Series 8, 2 Discs ",,2014-01-04
1030287,BL84801,,477797,"I Am David, 1 Disc",,2014-01-31
1030390,BL84810,,477808,"Silent Witness : Series -2, 2 Discs",,2014-01-29
1030454,BL84812,,477812,"Einstein And Eddington, 1 Disc",,2014-02-01
1030619,BL84814,,477828,"Getting On:Series- 1, 1 Disc ",,2014-01-28
1030625,BL84815,,477829,"Lion In Winter, 1 Disc",,2014-01-25
1030654,BL84817,,477833,"Monarch Of The Glen:Series-1-4,12 Discs",,2014-01-11
1030672,BL84818,,477834,"Monarch Of The Glen :Series- 5-7, 10 Discs",,2014-01-11
1030701,BL84820,,477913,"Carry On Screaming, 1 Disc",,2014-01-12
1030714,BL84822,,477915,"Lady Jane, 1 Disc",,2014-01-16
1030718,BL84823,,477916,"Rocket Post, 1 Disc",,2014-01-30
1030986,BL84829,,477948,"Page Eight, 1 Disc ",,2013-03-22
1030990,BL84830,,477951,"Great Gatsby, 1 Disc",,2014-01-10
1031072,BL84834,,478069,"Wetherby, 1 Disc",,2014-01-28
1031112,BL84835,,478070,"House Of Mirth, 1 Disc ",,2014-01-12
1031114,BL84836,,478072,"Hanna, 1 Disc",,2014-01-23
1036606,BL84840,,454539,"Aristocrats (TV mini-series 1999) (DVD)","Caffrey,David",2014-01-30
1036610,BL84888,,454645,"X-Men: First Class (DVD)","Vaughn,Matthew",2014-01-18
1036615,BL84893,9780230000000,58223,"Touching the Void: Intermediate","Simpson, Joe",2014-01-31
1036624,BL84897,,464045,"Snatch. (dvd)","Ritchie,Guy",2014-02-02
1036626,BL84898,,454570,"Fright Night (DVD)","Gillespie,Craig",2014-01-12
1036628,BL84842,,464086,"Heartbeat - Series 10","Curry,Martin",2014-01-03
1036629,BL84900,,464048,"Entrapment (dvd)","Amiel,Jon",2014-01-07
1036631,BL84901,,463740,"Balamory - Days Out (DVD)",,2014-01-31
1036646,BL84964,,464051,"The First Men in the Moon (dvd)","Thomas,Damon",2014-02-02
1036649,BL84966,,464009,"Human Body (DVD)",,2014-01-18
1036651,BL84963,,464008,"How We Built Britain (DVD)",,2014-01-28
1036653,BL84906,,100969,"Saving Grace",,2013-11-29
1036661,BL84908,,465087,"My week with Marilyn",,2014-01-03
1036678,BL84959,5014503223021,461092,"Beatrix Potter: World of Peter Rabbit and Friends","Beatrix Potter",2014-01-28
1036688,BL84846,,478834,"BBCs Great Comedy Moments, 1 Disc ",,2013-12-24
1036702,BL84918,,51457,"Sherlock Holmes","Sarah Hellings",2014-01-25
1036704,BL84847,,478838,"Elizabeth R, 3 Disc",,2014-01-18
1036705,BL84919,,246615,"The Cry of the Owl, 1 Disc",,2014-01-28
1036708,BL84920,,463510,"Balamory - Rain Or Shine (DVD)",,2014-01-16
1036731,BL84922,,474360,"Perfect Sense (DVD)","Mackenzie,David",2014-01-25
1036738,BL84848,,473431,"Definitely, Maybe (dvd)","Brooks,Adam",2014-01-22
1036749,BL84850,,474506,"Will ","Perry,Ellen",2014-01-18
1036754,BL84851,,246620,"The Soloist, 1 Disc",,2014-01-25
1036757,BL84859,,474725,"Red Road ","Arnold,Andrea",2014-02-02
1036764,BL84860,,474718,"Mission: Impossible - Ghost Protocol ","Bird,Brad",2014-01-25
1036780,BL84862,,463976,"Clarkson: The Good, The Bad, The Ugly (DVD)","Klein,Brian",2013-12-27
1036781,BL84863,,463973,"Clarkson - Thriller (DVD)","Klein,Brian",2014-01-22
1036787,BL84864,,464077,"New Tricks - Series 4","McCrey,Nigel",2013-11-12
1036795,BL84865,,474710,"In Time ","Niccol,Andrew",2014-01-25
1036796,BL84970,,474681,"Ali ","Mann,Michael",2014-02-01
1036828,BL84868,,474715,"Me and Orson Welles ","Linklater,Richard",2014-02-02
1036833,BL84869,,474709,"Haywire ","Soderbergh,Steven",2014-02-01
1036849,BL84972,,464019,"Jeremy Clarkson - Most Outrageous (DVD)",,2014-01-22
1036872,BL84973,9780230284135,251103,Coriolanus,"William Shakespeare; Jonathan Bate; Eric Rasmussen",2014-01-18
1036875,BL84852,,474739,"The Grey ","Carnahan,Joe",2014-01-08
1037311,BL84871,,474738,"The Girl with the Dragon Tattoo ","Fincher,David",2014-01-18
1037312,BL84872,,474687,"Brave ","Andrews, Mark",2014-01-28
1037380,BL84875,,454580,"Kung Fu Panda 2 (DVD)","Yuh,Jennifer",2013-12-22
1037384,BL84876,,474684,"Battleship ","Berg,Peter",2014-01-18
1037387,BL84877,,474677,"A Cry in the Dark ","Schepisi,Fred",2014-01-28
1037545,BL84879,,474750,"Underworld: Awakening ","Mr̄lind,Mn̄",2014-01-25
1037715,BL84882,,468625,"The Rite (DVD)",,2014-01-16
1037751,BL84885,,474753,"Warrior ","O'Connor,Gavin",2014-01-05
1037758,BL84886,,464041,"Wallace And Gromit - 3 Cracking Adventures (DVD)",,2013-12-21
1037894,BL84855,,310464,Greenfingers,,2014-01-11
1037901,BL85019,,451219,"Balamory - Archie's Inventions (DVD)",,2014-01-25
1037903,BL84856,,473416,"Dark Shadows (dvd)","Burton,Tim",2014-01-18
