Item Type	Biblio Number	Barcode	Accession Date	Last Seen Date	Issue Date	Title	Author									
BK	82306	CH23472	2011-04-03	2011-10-22	2011-10-22	The adventures of Tom Sawyer & the adventures of Huckleberry Finn										
BK	86144	CH20551	2011-04-03	2011-10-29	2011-10-29	Othello										
BK	87315	CH35212	2011-04-03	2011-11-05	2011-11-05	Photography: The New Complete Guide to Taking Photographs	John Freeman									
BK	89328	CH49371	2011-04-03	2011-11-09	2011-11-09	Cambridge Key English Test 3: Examination Papers from the University of Cambridge ESOL Examinations (Include CD 2337)										
BK	89361	CH49375	2011-04-03	2011-11-09	2011-11-09	Cambridge First Certificate in English 1 for Updated Exam With answers (Includes CD 2329	 CD 2330)									
BK	88444	CH49381	2011-04-03	2011-11-09	2011-11-09	FCE Result: Teacher's Pack Including Writing and Speaking Assessment Booklet and Dictionary Booklet (Including CD 2350)										
BK	89066	CH8850	2011-04-03	2011-11-22	2011-11-22	Molecular Biology	P C Turner	 A G McLennan	 A D Bates and M R H White							
BK	82533	CH16661	2011-04-03	2011-11-22	2011-11-22	Instant notes in plant biology	A. Lack	 D.E. Evans								
BK	90316	CH120	2011-04-03	2011-11-23	2011-11-23	Essential cell biology	Bruce Alberts [et.al]									
BK	83097	CH31081	2011-04-03	2011-11-23	2011-11-23	An introduction to genetic engineering	Desmond S T Nicholl									
BK	87679	CH13567	2011-04-03	2011-11-23	2011-11-23	P C R	M. J. McPherson and S. G. Moller									
BK	85629	CH6548	2011-04-03	2011-11-23	2011-11-23	Immunology	B Hannigan									
BK	88847	CH181	2011-04-03	2011-11-23	2011-11-23	Shakespeare: Macbeth	William Shakespeare and Edited by Alan Sinfield									
BK	79868	CH26596	2011-04-03	2011-11-26	2011-11-26	50 ways to get along with absolutely anyone										
BK	88669	CH52022	2011-04-03	2011-11-30	2011-11-30	Brilliant Decision Making: What the best decision makers know	 do and say	Robbie Steinhouse								
BK	80215	CH15895	2011-04-03	2011-11-30	2011-11-30	Teaching listening comprehension	Penny Ur									
BK	87844	CH43920	2011-04-03	2011-11-30	2011-11-30	Interacting : 60 short drama scripts for devloping skills in drama	Edward Denniston									
BK	85193	CH37016	2011-04-03	2011-12-01	2011-12-01	Raj	Gita Mehta									
BK	90448	CH35845	2011-04-03	2011-12-03	2011-12-03	Snapshots	Shobha De									
BK	88343	CH4891	2011-04-03	2011-12-05	2011-12-05	Movies	Edited by Gilbert Adair									
BK	81781	CH29929	2011-04-03	2011-12-08	2011-12-08	Booze : The drinks bible for the 21st century										
BK	86121	CH42755	2011-04-03	2011-12-12	2011-12-12	59 Checklists for Project and Programme Managers	Rudy Kor 	 Gert Wijnen								
BK	91974	CH50869	2011-04-03	2011-12-12	2011-12-12	The PMP Exam: How to Pass on your first try	Andy Crowe									
BK	80632	CH30804	2011-04-03	2011-12-14	2011-12-14	The Golf Doctor	Edward Craig									
BK	90911	CH53015	2011-04-03	2011-12-21	2011-12-21	Contemporary British Women Artists in their own words	Rebecca Fortnum									
BK	80400	CH35162	2011-04-03	2011-12-21	2011-12-21	Movements in Painting	Isabelle Marcade									
BK	80793	CH31921	2011-04-03	2011-12-21	2011-12-21	The photography bible										
BK	89862	CH45109	2011-04-03	2011-12-22	2011-12-22	How to Overcome Fear: and Live Your Life to the Fullest	Witt	 Marcos								
BK	82166	CH48039	2011-04-03	2011-12-22	2011-12-22	The Decisive Moment: How the Brain Makes Up Its Mind	Lehrer	 Jonah								
BK	83609	CH31332	2011-04-03	2011-12-22	2011-12-22	Textbook of physiology	Gabriel C Ezeilo									
BK	90574	CH43952	2011-04-03	2011-12-23	2011-12-23	Creating a Role	Constantin Stanislavski									
BK	81776	CH34513	2011-04-03	2011-12-24	2011-12-24	The Meditation Bible	Madonna Gauding									
BK	86448	CH38558	2011-04-03	2011-12-24	2011-12-24	New Feminine Brain	Mona Lisa Schulz									
BK	82666	CH24776	2011-04-03	2011-12-24	2011-12-24	Astrology										
BK	88966	CH51850	2011-04-03	2011-12-30	2011-12-30	How to be Gorgeous: Wear it your way and feel like a goddess every day	Nicky Hambleton-Jones									
BK	87619	CH5286	2011-04-03	2012-01-04	2012-01-04	Lolita	Vladimir Nabokov									
BK	84240	CH44255	2011-04-03	2012-01-11	2012-01-11	Down into darkness	David Lawrence.									
BK	85876	CH31083	2011-04-03	2012-01-13	2012-01-13	Clinical orthopaedic examination	Ronald McRae									
BK	84346	CH32447	2011-04-03	2012-01-21	2012-01-21	The saratchandra omnibus : Volume 1	Saratchandra Chattopadhya									
BK	91771	CH50494	2011-04-03	2012-01-25	2012-01-25	The Love of Her Life	Harriet Evans									
BK	91197	CH53301	2011-04-03	2012-01-25	2012-01-25	The Luminous Life of Lilly Aphrodite	"""Colin, Beatrice"""									
